Rep Detail Report V2: Hana Nassri,,,,,,,,,,,,,,,
Generated: 2025-12-22 11:59:33,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
SUMMARY METRICS,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Before_Accounts,Before_SF_Ex_BI,Before_Rev_2024,Before_Rev_2025,Accounts_Moved_In,Accounts_Moved_Out,Net_Account_Change,Account_Change_Pct,Rev_Moved_In,Rev_Moved_Out,Net_Rev_Change,Revenue_Change_Pct,After_Accounts,After_Rev_2025,Floor_Exception_Accounts,Floor_Exception_Rev,SF_Ex_BI_Accounts,Zero_Rev_Accounts,Zero_Rev_New_2025,Accounts_Redirected_Territory,Rev_Redirected_Territory,Accounts_Redirected_Floor_Active,Rev_Redirected_Floor_Active,Accounts_Redirected_Floor_Dormant,Rev_Redirected_Floor_Dormant
980,114,1909418.67,1854954.57,349,979,-630,-64.29,1876681.09,1852149.57,24531.52,1.32,350,1879486.09,0,0.0,0,68,48,332,1695365.62,544,156783.95,103,0.0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
BREAKDOWN BY SEGMENT,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
,Accounts,Revenue,Exceptions,Removed,,,,,,,,,,
Group 1 High Potential: ,13,386698.1,0,0,,,,,,,,,,
Group 1 Medium Potential: ,4,93307.62,0,0,,,,,,,,,,
Group 2 High Potential: ,69,505115.3,0,0,,,,,,,,,,
Group 2 Medium Potential: ,128,813087.16,0,0,,,,,,,,,,
Group 2 Low Potential: ,4,14794.0,0,0,,,,,,,,,,
Group 3 High Potential: ,95,46095.81,0,0,,,,,,,,,,
Group 3 Medium Potential: ,13,17721.2,0,2,,,,,,,,,,
Group 3 Low Potential: ,24,2666.9,0,0,,,,,,,,,,
Totals,350,1879486.09,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
GROUP 1 (HIGH REVENUE) - KEEPING: 17 accounts | $480005.72 revenue,,,,,,,,,,,,,,,
================================================================================,,,,,,,,,,,,,,,
Customer No.,Account_Name,Segment,Sub_Segment,Segment_Label,Total_Rev_2024,Total_Rev_2025,Orders_2024,Orders_2025,Is_New_2025,BTF,Floor_Exception,Floor_Removed,In SF ex BI
1022962,Cordaro Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,12325.5,10772.53,10,6,FALSE,N,FALSE,FALSE,N
1034773,City to Suburb Interiors,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,0.0,10359.0,0,4,FALSE,N,FALSE,FALSE,N
1005281,"DW Design and Decor, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,2400.0,10287.8,2,2,FALSE,N,FALSE,FALSE,N
1019298,Antonio Pippo Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3603.0,10107.4,1,5,FALSE,N,FALSE,FALSE,N
1014399,Natura Interiors LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,11166.71,10002.0,9,12,FALSE,N,FALSE,FALSE,N
1000605,"Arbor Living Interiors, LLC",DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,19550.4,9983.01,18,5,FALSE,N,FALSE,FALSE,N
1025924,Tamara Eaton Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,6256.0,9899.0,5,9,FALSE,N,FALSE,FALSE,N
1022080,Susan Rains Design LLC,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,514.5,9620.64,4,2,FALSE,N,FALSE,FALSE,N
1015090,ASH NYC,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,20603.0,9570.0,15,4,FALSE,N,FALSE,FALSE,N
1020957,JLS Interior Design,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,7163.4,9557.2,5,5,FALSE,N,FALSE,FALSE,N
1017891,NMG Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,3244.0,9146.0,1,2,FALSE,N,FALSE,FALSE,N
1021963,Didi Granger Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,0.0,8985.27,0,4,TRUE,N,FALSE,FALSE,N
1014989,Rachel Simone,DESIGN,DESIGN_FIRM,Group 2 Medium Potential,21768.0,8911.0,20,6,FALSE,N,FALSE,FALSE,N
1024727,Natalie Miller Interiors,DESIGN,DESIGNER_INDEPENDENT,Group 2 Medium Potential,0.0,8845.0,0,3,FALSE,N,FALSE,FALSE,N
1020719,Hackett House Studio,DESIGN,DESIGNER_INDEPENDENT,Group 2 High Potential,150.0,8831.5,0,4,FALSE,N,FALSE,FALSE,N
